timedeltaindex,absolute_timestamp,accessspecid,antenna,channelindex,doppler,doppler_by_phase,doppler_channel,doppler_hz,epc96,estimated_rssi,id,interrogator_timestamp,inventoryparameterspecid,lastseentimestamp,phase,phase_rads,prx_moving_parts,relative_timestamp,rospecid,rssi,rssi_delta,rssi_from_mean,rssi_from_min,tagseencount,velocity_by_doppler,velocity_by_phase
00:00:00.838708,2017-06-02 20:49:22,0,1.0,45.0,3,0.0,173390625.0,0.1875,00e200600322efac42000000,-52.9271858317,47,1502816629324226,1,1502816629324226,964,1.47875747952,-8.02648496441,838708,1,-56,-12.0,1.09828695028,3.32477773537,1,0.0607851699108,0.0
00:00:00.850103,2017-06-02 20:49:22,0,1.0,45.0,3,-0.045664489189,173390625.0,0.1875,00e200600322f041ef000000,-50.7843370797,48,1502816629335621,1,1502816629335621,364,0.55836900679,-2.02648496441,850103,1,-50,6.0,-0.781195246603,0.890871509206,1,0.0607851699108,-0.014803859916
00:00:00.894590,2017-06-02 20:49:22,0,1.0,45.0,65535,0.021951637557,-57796875.0,-0.0625,00e200600322f041ef000000,-50.2101624871,49,1502816629380108,1,1502816629380108,372,0.570640853093,-2.02648496441,894590,1,-50,0.0,-0.207020654001,1.46504610181,1,-0.0202617233036,0.00711644809986
00:00:00.906122,2017-06-02 20:49:22,0,1.0,45.0,65530,0.0144860488919,-346781250.0,-0.375,00e200600322efac42000000,-55.1806685217,50,1502816629391640,1,1502816629391640,972,1.49102932582,-9.02648496441,906122,1,-57,-7.0,-1.1551957397,1.07129504539,1,-0.121570339822,0.00469619703057
00:00:00.916082,2017-06-02 20:49:22,0,1.0,45.0,0,0.00549494992122,0.0,0.0,00e200600322f10741000000,-46.9958511012,51,1502816629401600,1,1502816629401600,40,0.0613592315154,3.97351503559,916082,1,-44,13.0,-0.680438837435,0.538592441545,1,0.0,0.00178139447794
00:00:00.936252,2017-06-02 20:49:22,0,1.0,45.0,9,-0.0703203758821,520171875.0,0.5625,00e200600322f041ef000000,-49.1950407286,52,1502816629421770,1,1502816629421770,348,0.533825314184,-2.02648496441,936252,1,-50,-6.0,0.808101104468,2.48016786028,1,0.182355509732,-0.0227969919796
00:00:00.946234,2017-06-02 20:49:22,0,1.0,45.0,3,0.0161939921067,173390625.0,0.1875,00e200600322f10741000000,-45.3920069679,53,1502816629431752,1,1502816629431752,44,0.067495154667,3.97351503559,946234,1,-44,6.0,0.923405295906,2.14243657489,1,0.0607851699108,0.00524989099593
00:00:00.964877,2017-06-02 20:49:22,0,1.0,46.0,15,0.0161939921067,867421875.0,0.9375,00e200600322efac42000000,-53.1575968337,54,1502816629450395,1,1502816629450395,3384,5.19099098621,-8.01709481322,964877,1,-56,-12.0,0.598796840119,2.17046089221,1,0.3037616097,0.00524989099593
00:00:01.018385,2017-06-02 20:49:22,0,1.0,46.0,3,0.0161939921067,173484375.0,0.1875,00e200600322f041ef000000,-50.8460755216,55,1502816629503903,1,1502816629503903,2716,4.1662918199,-2.01709481322,1018385,1,-50,6.0,-0.994272556746,0.278411859444,1,0.06075232194,0.00524989099593
00:00:01.028388,2017-06-02 20:49:22,0,1.0,46.0,65534,0.0441883484163,-115656250.0,-0.125,00e200600322f10741000000,-45.8344004073,56,1502816629513906,1,1502816629513906,220,0.337475773335,3.98290518678,1028388,1,-44,6.0,0.899344688481,1.93299431971,1,-0.04050154796,0.0143175721012
